Data R1_x,Data R1_y,Fit R1 (k=1.91)_x,Fit R1 (k=1.91)_y,Data R2_x,Data R2_y,Fit R2 (k=1.71)_x,Fit R2 (k=1.71)_y,Data R3_x,Data R3_y,Fit R3 (k=1.73)_x,Fit R3 (k=1.73)_y,Data R4_x,Data R4_y,Fit R4 (k=1.75)_x,Fit R4 (k=1.75)_y,Data R5_x,Data R5_y,Fit R5 (k=1.80)_x,Fit R5 (k=1.80)_y
,,61.9191919192,3.6431068229,,,61.9191919192,0.2567687452,,,61.9191919192,5.2696666025,,,61.9191919192,5.8052187689,,,61.9191919192,0.8576939153
,,62.4242424242,3.7001463010,,,62.4242424242,0.2603669168,,,62.4242424242,5.3443417747,,,62.4242424242,5.8882656967,,,62.4242424242,0.8703176124
,,62.9292929293,3.7576084036,,,62.9292929293,0.2639859065,,,62.9292929293,5.4194606144,,,62.9292929293,5.9718170903,,,62.9292929293,0.8830231373
,,63.4343434343,3.8154928323,,,63.4343434343,0.2676256662,,,63.4343434343,5.4950221649,,,63.4343434343,6.0558719287,,,63.4343434343,0.8958103574
,,63.9393939394,3.8737992917,,,63.9393939394,0.2712861482,,,63.9393939394,5.5710254796,,,63.9393939394,6.1404292008,,,63.9393939394,0.9086791412
,,64.4444444444,3.9325274887,,,64.4444444444,0.2749673055,,,64.4444444444,5.6474696211,,,64.4444444444,6.2254879056,,,64.4444444444,0.9216293585
,,64.9494949495,3.9916771327,,,64.9494949495,0.2786690915,,,64.9494949495,5.7243536614,,,64.9494949495,6.3110470519,,,64.9494949495,0.9346608805
,,65.4545454545,4.0512479357,,,65.4545454545,0.2823914599,,,65.4545454545,5.8016766817,,,65.4545454545,6.3971056584,,,65.4545454545,0.9477735794
,,65.9595959596,4.111239612,,,65.9595959596,0.2861343651,,,65.9595959596,5.8794377722,,,65.9595959596,6.4836627530,,,65.9595959596,0.9609673286
,,66.4646464646,4.1716518784,,,66.4646464646,0.2898977618,,,66.4646464646,5.9576360321,,,66.4646464646,6.5707173731,,,66.4646464646,0.9742420028
,,66.9696969697,4.232484454,,,66.9696969697,0.2936816053,,,66.9696969697,6.0362705689,,,66.9696969697,6.6582685654,,,66.9696969697,0.9875974778
,,67.4747474747,4.2937370601,,,67.4747474747,0.2974858511,,,67.4747474747,6.1153404992,,,67.4747474747,6.7463153853,,,67.4747474747,1.0010336303
,,67.9797979798,4.3554094205,,,67.9797979798,0.3013104554,,,67.9797979798,6.1948449476,,,67.9797979798,6.8348568973,,,67.9797979798,1.0145503385
,,68.4848484848,4.4175012611,,,68.4848484848,0.3051553746,,,68.4848484848,6.2747830471,,,68.4848484848,6.9238921746,,,68.4848484848,1.0281474815
,,68.9898989899,4.48001231,,,68.9898989899,0.3090205656,,,68.9898989899,6.3551539389,,,68.9898989899,7.0134202990,,,68.9898989899,1.0418249394
,,69.4949494949,4.5429422974,,,69.4949494949,0.3129059857,,,69.4949494949,6.4359567721,,,69.4949494949,7.1034403607,,,69.4949494949,1.0555825935
,,70.,4.606290956,,,70.,0.3168115926,,,70.,6.5171907036,,,70.,7.1939514581,,,70.,1.0694203259
