Energy (eV),Electroabsorption (mOD) - 300.0 V,Electroabsorption (mOD) - 250.0 V,Electroabsorption (mOD) - 200.0 V,Electroabsorption (mOD) - 150.0 V,Electroabsorption (mOD) - 100.0 V
2.440944881889764,-0.0021058868317343524,-0.003453214957203473,-0.0012030073203968673,-0.003124575577548161,0.0011831756618216303
2.43614931237721,-0.008300739519230103,-0.0032042939304874844,-0.00328299999354179,0.0021582136967268216,0.0033854323224227025
2.4313725490196076,-0.005618468902316599,-0.0011011974091727867,-0.002815067556640317,-0.001902200189769439,0.0015179750510555716
2.426614481409002,-0.002834334716086743,-0.00016350943714607468,0.0006517602363264228,-0.007607575146180869,0.0022174373934430993
2.421875,-0.0043138704963219966,0.00310294601502826,-0.005643897716457191,-0.0022650396585300932,0.0009167889288524543
2.4171539961013644,-0.002615172445337443,-0.003606114836188594,0.005291380812710144,-0.002872645458627261,0.0034664408421180106
2.412451361867704,0.00202264394093131,-0.005584129117355837,-0.0027088028948398664,0.005792760725828249,0.0034302383396163615
2.407766990291262,-0.004488091632639604,-0.002487793814208348,-0.002007059328155187,0.005683509607965668,0.004430936555422127
2.4031007751937983,-0.007978276651377715,0.003878110678471771,0.00017441563515650254,-0.004575183500784899,-0.00083487873637871
2.3984526112185685,-0.004458619778850034,-0.0015299499459310536,0.0004335658604821683,-0.006711288135555371,-0.0009134514295820101
2.393822393822394,-0.006990517338810549,-0.0024817728951390707,-0.0006186323840478417,-0.007986975454105963,-0.00042161320785154396
2.3892100192678227,-0.0016789465596707934,-0.004538537714922809,-0.0012040875835769632,-0.0022186328847646057,-0.006130977846403831
2.3846153846153846,-0.002621607780909993,-0.005226221335625365,-0.0027725142033746854,0.001430705363680528,-0.004914813383941605
2.380038387715931,-0.005343462090378241,-0.004958535073666572,-0.001279029877400581,0.001182025050466128,-0.0011239269803729266
2.375478927203065,-0.0028271503212098734,-0.0007014731828804464,-0.0002265809908819125,0.0039718680238453015,-1.972511173867327e-05
2.3709369024856595,-0.0011906130119717863,-0.0026082324888106363,-5.548529278974328e-05,-0.0008367493588226194,0.004629105968758287
2.366412213740458,-0.005382600486414554,0.00013198853005468448,-0.0032680627848832426,-0.0014261075660758696,-0.00036254524737309323
2.361904761904762,-0.0015239481661306158,0.0016957594847700267,-0.0018229070401396296,0.002439821733675759,0.0006701734004729397
2.3574144486692017,-0.0029495815816926877,0.002741615646601917,-0.0010570195631916704,-0.000399023361248466,-0.003427558076354662
2.3529411764705883,-0.006273092378536659,-0.005809672185054275,-0.005028641039836124,-0.003772862357794272,0.002673452169553089
2.3484848484848486,-0.006312576611418953,-0.0044111449596165595,-0.002234995195180552,0.0001494090268689832,-0.0027135483989279468
2.344045368620038,-0.0014177600618422766,-0.0026360395904042044,-0.0011266420453811858,2.7082450359738193e-05,0.003671295618019226
2.339622641509434,-0.004316254374822499,-0.0018903254508194536,0.0005159924022418365,-0.004746357432252768,0.0003262146398280629
2.335216572504708,-0.007302304691681237,-0.0015552557082623858,-0.005001022456247447,-0.0002524414113302249,-0.00489341706077023
2.330827067669173,-0.0014455027105473523,-0.002692225497248642,0.00017082269649728395,0.001930312444231476,-0.007225226656737354
2.326454033771107,0.001901550078004706,0.0018581079760403344,0.0011228628386833579,1.557489436393764e-05,0.002394412765159366
2.3220973782771535,-7.056113020796345e-05,-0.001015616217609451,0.0026064185477836775,-0.004908606753444795,0.0023541475829816304
2.317757009345794,-0.001985780218498221,-0.006893579388770691,0.0013977134220856129,-0.011114939099672724,0.002425648297092544
2.3134328358208953,0.003098129422405065,-0.00268930865529253,-0.0012177781245361063,-0.0015551250124936481,0.0019412164252695678
2.3091247672253257,0.0008158920854532356,-0.0007470318134375548,0.0018800863909045967,0.0005387420053250804,0.002068161198385457
2.3048327137546467,-0.00597385265624468,-0.008699124537144547,0.002313682764669304,-0.005622318440213768,0.003427550335465813
2.300556586270872,-0.004240260620153229,-0.001831562399507976,0.00538873267055911,-0.0013608941742194885,0.0033418945280612993
2.2962962962962963,0.0015405409834193017,0.0003136884075653903,-0.0003533973363337759,0.004128680335338996,-0.0013621019823853798
2.292051756007394,0.0007895364480648156,-0.0032542211089021415,-0.0027048629738882636,0.004097878630727507,-0.0013340210704601396
2.2878228782287824,-0.0005889871328795502,-0.0013128659084845622,-0.002337372097819719,0.0037238259332826613,0.002872873044119358
2.283609576427256,0.0021064075241525463,0.00038688072544657026,0.0029434587934808153,-0.0016251195398343584,0.005329052665030401
2.2794117647058822,0.0018287490173850723,-0.000621363110054223,0.001977042090127627,0.0024153895369914374,0.0022151630602104426
2.2752293577981653,0.003964457147586006,-0.0007797764644456086,0.003333409316315894,-0.0051872283353867595,0.004372145313415944
2.271062271062271,-0.004612902294626492,0.001999942840737918,0.0017437098525851027,0.0011939635984220725,0.00350473881486865
2.26691042047532,6.22483336597761e-05,0.0019026116969987398,0.003734339558237904,0.0013209102938225165,0.0024880416654841017
2.2627737226277373,-0.011233356098250756,-0.0001509678091030411,0.0015962541207392117,-0.0015782001629083987,0.0061191656293174594
2.2586520947176685,-0.008784016445215547,-0.0023741455668992695,0.0003274674339533768,0.0014928497908151686,0.0018655098578003694
2.2545454545454544,-0.0033761509794229725,-0.0017048305693231796,0.003948342467136542,0.0011412585448000235,-0.0016810429709068421
